infinitive,english,präteritum,partizipII,auxiliary,level,präteritumExample,partizipIIExample,source_name,source_levelReference,pattern_type,pattern_group
"sein","to be","war","gewesen","sein","A1","Er war gestern krank.","Sie ist lange in Berlin gewesen.","Goethe-Institut","A1 Essential Verbs","other","highly irregular"
"haben","to have","hatte","gehabt","haben","A1","Ich hatte keine Zeit.","Er hat viel Geld gehabt.","Goethe-Institut","A1 Essential Verbs","mixed","haben pattern"
"werden","to become","wurde","geworden","sein","A1","Sie wurde Lehrerin.","Er ist Arzt geworden.","Goethe-Institut","A1 Essential Verbs","ablaut","e -> u -> o"
"können","can/to be able to","konnte","gekonnt","haben","A1","Er konnte gut schwimmen.","Das hat er immer gut gekonnt.","Goethe-Institut","A1 Essential Verbs","modal","modal verbs"
"müssen","must/to have to","musste","gemusst","haben","A1","Ich musste früh aufstehen.","Er hat arbeiten gemusst.","Goethe-Institut","A1 Essential Verbs","modal","modal verbs"
"gehen","to go","ging","gegangen","sein","A1","Er ging zur Schule.","Wir sind nach Hause gegangen.","Goethe-Institut","A1 Essential Verbs","ablaut","e -> i -> a"
"kommen","to come","kam","gekommen","sein","A1","Sie kam spät.","Der Bus ist pünktlich gekommen.","Goethe-Institut","A1 Essential Verbs","ablaut","o -> a -> o"
"wollen","to want","wollte","gewollt","haben","A1","Er wollte nach Hause.","Sie hat das nicht gewollt.","Goethe-Institut","A1 Essential Verbs","modal","modal verbs"
"sollen","should/ought to","sollte","gesollt","haben","A1","Du solltest mehr lernen.","Das hätte ich nicht gesollt.","Goethe-Institut","A1 Essential Verbs","modal","modal verbs"
"machen","to make/do","machte","gemacht","haben","A1","Er machte seine Hausaufgaben.","Sie hat das Essen gemacht.","Goethe-Institut","A1 Essential Verbs","",""
"spielen","to play","spielte","gespielt","haben","A1","Das Kind spielte im Garten.","Wir haben Fußball gespielt.","Goethe-Institut","A1 Essential Verbs","",""
"lernen","to learn","lernte","gelernt","haben","A1","Sie lernte Deutsch.","Er hat viel gelernt.","Goethe-Institut","A1 Essential Verbs","",""
"leben","to live","lebte","gelebt","haben","A1","Er lebte in Berlin.","Sie hat lange in Paris gelebt.","Goethe-Institut","A1 Essential Verbs","",""
"arbeiten","to work","arbeitete","gearbeitet","haben","A1","Sie arbeitete in einer Bank.","Er hat als Koch gearbeitet.","Goethe-Institut","A1 Essential Verbs","",""
"wohnen","to live/reside","wohnte","gewohnt","haben","A1","Er wohnte im Zentrum.","Sie hat in einem Apartment gewohnt.","Goethe-Institut","A1 Essential Verbs","",""
"essen","to eat","aß","gegessen","haben","A1","Er aß ein Sandwich.","Wir haben zu Mittag gegessen.","Goethe-Institut","A1 Essential Verbs","ablaut","e -> a -> e"
"trinken","to drink","trank","getrunken","haben","A1","Sie trank Wasser.","Er hat Kaffee getrunken.","Goethe-Institut","A1 Essential Verbs","ablaut","i -> a -> u"
"schlafen","to sleep","schlief","geschlafen","haben","A1","Das Kind schlief tief.","Ich habe gut geschlafen.","Goethe-Institut","A1 Essential Verbs","ablaut","a -> ie -> a"
"sehen","to see","sah","gesehen","haben","A1","Er sah einen Film.","Wir haben uns gestern gesehen.","Goethe-Institut","A1 Essential Verbs","ablaut","e -> a -> e"
"hören","to hear","hörte","gehört","haben","A1","Sie hörte Musik.","Ich habe ein Geräusch gehört.","Goethe-Institut","A1 Essential Verbs","",""
"sprechen","to speak","sprach","gesprochen","haben","A1","Er sprach sehr gut Deutsch.","Sie hat mit ihrer Mutter gesprochen.","Goethe-Institut","A1 Essential Verbs","ablaut","e -> a -> o"
"lesen","to read","las","gelesen","haben","A1","Sie las ein interessantes Buch.","Er hat die Zeitung gelesen.","Goethe-Institut","A1 Essential Verbs","ablaut","e -> a -> e"
"schreiben","to write","schrieb","geschrieben","haben","A1","Er schrieb einen Brief.","Sie hat eine E-Mail geschrieben.","Goethe-Institut","A1 Essential Verbs","ablaut","ei -> ie -> ie"
"kaufen","to buy","kaufte","gekauft","haben","A1","Sie kaufte neue Schuhe.","Er hat ein Auto gekauft.","Goethe-Institut","A1 Essential Verbs","",""
"heißen","to be called","hieß","geheißen","haben","A1","Er hieß Peter.","Sie hat anders geheißen.","Goethe-Institut","A1 Essential Verbs","ablaut","ei -> ie -> ei"
"laufen","to run/walk","lief","gelaufen","sein","A2","Er lief schnell.","Sie ist einen Marathon gelaufen.","Goethe-Institut","A2 Common Verbs","ablaut","au -> ie -> au"
"fahren","to drive/ride","fuhr","gefahren","sein","A2","Sie fuhr nach Berlin.","Er ist Auto gefahren.","Goethe-Institut","A2 Common Verbs","ablaut","a -> u -> a"
"fliegen","to fly","flog","geflogen","sein","A2","Das Flugzeug flog nach Paris.","Wir sind nach London geflogen.","Goethe-Institut","A2 Common Verbs","ablaut","ie -> o -> o"
"schwimmen","to swim","schwamm","geschwommen","sein","A2","Er schwamm im See.","Sie ist einen Kilometer geschwommen.","Goethe-Institut","A2 Common Verbs","ablaut","i -> a -> o"
"tanzen","to dance","tanzte","getanzt","haben","A2","Sie tanzten die ganze Nacht.","Wir haben Salsa getanzt.","Goethe-Institut","A2 Common Verbs","",""
"erreichen","to reach/achieve","erreichte","erreicht","haben","B1","Sie erreichte ihr Ziel.","Er hat den Gipfel erreicht.","Duden","B1 Intermediate Verbs","",""
"beschließen","to decide","beschloss","beschlossen","haben","B1","Das Komitee beschloss die Änderungen.","Sie haben eine neue Strategie beschlossen.","Duden","B1 Intermediate Verbs","ablaut","ie -> o -> o"
"entstehen","to develop/arise","entstand","entstanden","sein","B1","Daraus entstand eine neue Idee.","Das Problem ist plötzlich entstanden.","Duden","B1 Intermediate Verbs","ablaut","e -> a -> a"
"verbinden","to connect/combine","verband","verbunden","haben","B1","Er verband die beiden Kabel.","Sie hat Tradition mit Innovation verbunden.","Duden","B1 Intermediate Verbs","ablaut","i -> a -> u"
"bewerten","to evaluate/assess","bewertete","bewertet","haben","B2","Der Professor bewertete die Arbeiten.","Die Jury hat die Leistungen bewertet.","Duden","B2 Advanced Verbs","",""
"übertragen","to transfer/transmit","übertrug","übertragen","haben","B2","Er übertrug die Verantwortung.","Die Krankheit hat sich schnell übertragen.","Duden","B2 Advanced Verbs","ablaut","a -> u -> a"
"durchführen","to carry out/conduct","führte durch","durchgeführt","haben","B2","Das Team führte das Experiment durch.","Sie haben eine Studie durchgeführt.","Duden","B2 Advanced Verbs","",""
"erörtern","to discuss/debate","erörterte","erörtert","haben","C1","Das Gremium erörterte die Vorschläge.","Die Experten haben die Problematik erörtert.","Duden","C1 Professional Verbs","",""
"entsprechen","to correspond","entsprach","entsprochen","haben","C1","Das Ergebnis entsprach den Erwartungen.","Die Leistung hat den Anforderungen entsprochen.","Duden","C1 Professional Verbs","ablaut","e -> a -> o"
"beinhalten","to contain/include","beinhaltete","beinhaltet","haben","C1","Der Vertrag beinhaltete wichtige Klauseln.","Das Angebot hat viele Vorteile beinhaltet.","Duden","C1 Professional Verbs","",""
"suggerieren","to suggest/imply","suggerierte","suggeriert","haben","C2","Der Text suggerierte eine andere Interpretation.","Die Studie hat einen Zusammenhang suggeriert.","Duden","C2 Academic Verbs","",""
"gedeihen","to thrive/flourish","gedieh","gediehen","sein","C2","Das Unternehmen gedieh unter seiner Führung.","Die Pflanzen sind prächtig gediehen.","Duden","C2 Academic Verbs","ablaut","ei -> ie -> ie"
"differenzieren","to differentiate","differenzierte","differenziert","haben","C2","Der Experte differenzierte zwischen den Konzepten.","Sie hat genau zwischen den Optionen differenziert.","Duden","C2 Academic Verbs","",""
